household_id,grid_region,substation_name,feeder_line,distribution_zone,grid_operator,grid_voltage,grid_current,grid_load_kw,transformer_load,line_loss_percent,load_variation,frequency_variation,grid_capacity_kw,demand_forecast_kw,reserve_margin
8270,West,SS3,F3,Z1,OperatorB,221.03100253775213,41.75575707950847,59.59202906191293,23.415823442741317,9.60388891608154,0.20698652609736,-0.1919524298263389,279.5897319734079,136.27983757711553,19.615694341117766
1860,North,SS2,F1,Z2,OperatorB,225.63329200387707,26.822761866871403,158.47919696722906,140.43011498587245,7.990463669615657,-2.186194805815859,0.1581261452109569,106.28825941178502,81.8488264921826,7.538340157223082
6390,North,SS1,F2,Z1,OperatorB,223.0781137495955,36.61523013476547,37.20570605965938,8.146851657323108,2.544369721449561,15.161511767953051,-0.4988073991134548,399.44249906248245,294.7595599538814,5.598688034259257
6191,West,SS1,F2,Z3,OperatorB,232.8149736032347,33.21918078629242,65.88094675669086,135.09286468675018,6.216791518331512,0.6440649661179343,-0.1351942706270263,421.6249496021824,176.0423798199684,26.1835215420342
6734,South,SS2,F1,Z3,OperatorA,233.45422841386863,44.83996654689306,157.0470652844464,54.71283394876714,8.638675217126327,5.253663552943891,0.06914795029712,358.7208531879455,75.60827912395855,6.597349355688515
7265,East,SS1,F1,Z2,OperatorA,225.9696860212977,38.1200509524256,28.990933250012983,11.760975693234055,6.370323907351878,11.795618414815486,-0.3460078352027362,343.27784389336523,181.14028042071905,17.361053295189798
1466,East,SS1,F2,Z2,OperatorB,224.27032063956827,20.324547172133475,192.8897636541109,131.82736031532022,6.064055481305053,11.740045242700267,-0.3266402403101646,432.5819422897123,248.50034413700288,12.641943781850832
5426,South,SS1,F2,Z1,OperatorA,224.3789811107461,13.834585595287855,66.13804784476159,69.60562509948578,1.453166264167464,14.57527004318368,0.1966510455881984,126.36975931584966,126.3541729590627,14.31386811943026
6578,West,SS2,F2,Z1,OperatorB,244.1510963360553,17.622817083449313,161.29956035424658,91.85445384243336,3.8669206239965135,12.01749428677661,-0.301753824882174,286.07529008643,173.67573068840707,20.373328659747013
9322,East,SS2,F3,Z1,OperatorA,235.9379202780017,45.35314480097556,158.03657603214742,100.3258349431828,3.580427107001342,1.357487128190222,0.2820372043671105,249.12924728908916,195.10412505820952,24.347659666550012
2685,North,SS3,F3,Z2,OperatorA,227.27703743991117,21.389985271384877,96.24932103097731,28.4901561718356,2.5374742100206644,-6.316003351301722,-0.401613639743839,295.2601423502182,110.26357983983766,6.765476235728403
1769,North,SS3,F3,Z3,OperatorB,245.83517259667468,19.906974879010058,142.4950857488021,33.5125573053202,8.425091478011545,18.035392945574635,-0.1254486445313395,382.7581231848816,105.1875510289426,7.788278114857873
7949,West,SS3,F2,Z1,OperatorB,213.70076095112557,26.164471460240375,119.38635249006552,56.46327609286827,9.084150664766696,2.010811502574974,-0.1868627049678397,347.0907061466883,239.35288805415743,25.645412932041
3433,North,SS2,F3,Z3,OperatorA,224.6727129401213,33.25781730585334,115.34543977432438,51.96431472101604,1.316545877641596,13.695873363243509,0.2990655721797565,417.521830206805,134.49005341193322,9.926052758019742
6311,North,SS1,F1,Z1,OperatorA,216.29451300416392,44.58609854702148,101.10080096203278,23.3817828300685,4.551754460067315,-17.798912221211665,0.2522755752790901,204.08580026848705,249.37372090440363,8.444742537441446
6051,West,SS1,F2,Z3,OperatorA,245.94011358394147,21.66405732384868,123.35066546895824,7.5739594831170685,1.5841746426474397,-17.392055338503948,-0.0780098454285249,447.1257954868154,114.87770204310884,6.609724957602185
7420,East,SS2,F1,Z1,OperatorB,215.5340497155714,25.352402543313307,44.87359421069225,123.5879866994582,6.278291107823894,-15.621543037238954,-0.3796389303478679,101.55836560480272,251.0548183117927,29.131478216785347
2184,West,SS3,F1,Z2,OperatorB,213.1484155114478,18.769247750354296,53.25089234017866,79.01790193312601,8.173473653147433,-13.902220674099324,0.3547857913506744,254.5302613525741,108.46794149025116,13.46717090728542
5555,East,SS3,F3,Z1,OperatorB,231.432757416484,42.60280153051799,111.88914677773076,54.88525353897344,2.5801156257204974,13.389240874015698,0.4106000456323481,484.279916726274,87.82533416220124,8.792537954126871
4385,North,SS3,F2,Z3,OperatorB,234.57143543992072,31.45884417937096,104.26658390803398,56.23982206620536,1.424329260588387,-3.370090291234177,0.1271975018025961,349.401415409416,161.5062604210637,8.447494975867835
7396,East,SS2,F1,Z3,OperatorA,210.44779740189804,48.60643692275681,64.23054563978988,78.7788642335509,5.291240475915254,15.815346710101672,-0.2990197013116565,212.40066376746083,279.2559210499037,5.298376311962481
9666,South,SS1,F1,Z1,OperatorB,236.2244294983276,39.66294060043519,143.354114471762,28.068618819157184,5.6729137595260415,-1.52615564834732,0.2855786143644713,148.79456696589614,139.06183226302323,8.102820822138966
