household_id,tariff_region,tariff_city,tariff_plan_type,billing_cycle,utility_provider,unit_rate,peak_rate,offpeak_rate,fixed_charge,tax_amount,subsidy_amount,monthly_bill,billing_units,late_fee,adjustment_amount
8270,South,Delhi,Industrial,Monthly,ProviderA,9.499950353356905,12.695768326374619,2.463693579081333,97.63206290020455,31.265953470328697,9.319411197292633,1819.0550043485994,429.17832424497016,19.44371151743809,-6.326525324205193
1860,West,Mumbai,Residential,Bi-Monthly,ProviderB,3.5210609117716842,5.365041088713247,7.209875274107774,158.7202331212413,28.4291638234705,13.552919503528235,688.1040967682522,414.45397835737043,42.81492632719578,28.036743558260312
6390,East,Delhi,Industrial,Monthly,ProviderC,9.609973949366061,5.536777216178419,3.306168389269548,153.28868517102075,20.21989513072132,28.557027009732113,1477.1007206608633,542.2427329076511,25.33637308498774,42.166900226719434
6191,East,Delhi,Industrial,Bi-Monthly,ProviderA,4.061223312317257,13.960658792575822,4.434717805278795,69.72984028536136,35.34493109114348,19.627858042843698,1492.2913154603943,121.6306089621194,44.05274273914771,-7.798490258408734
6734,East,Mumbai,Commercial,Bi-Monthly,ProviderC,5.60305155304134,9.489242112081604,5.151508962680783,183.71222895033773,20.173556667088246,1.784912236423587,1316.081942671685,82.606685573043,24.976598506456817,-9.78776701979234
7265,West,Bangalore,Residential,Monthly,ProviderC,5.263734615571679,12.96874820428577,5.6602699320234295,74.14055296673382,14.2402367184847,8.301528030108939,1769.3371480672706,578.7586009266088,99.50630419875213,41.72589373929392
1466,South,Delhi,Residential,Monthly,ProviderC,6.942456676659782,6.140981004157576,6.298742606061182,116.51937185136238,42.00921462114182,4.368942729064354,1134.3836752320512,407.40837461027274,62.6801229788223,-30.56086778543523
5426,South,Bangalore,Residential,Bi-Monthly,ProviderB,9.704785127396372,11.6784084663282,5.844787867594488,81.47718208214299,20.099088674063438,27.32399015258872,570.8467736433113,259.62369769583626,92.50397788728061,41.51499981266596
6578,South,Delhi,Residential,Bi-Monthly,ProviderA,4.979719675025132,5.422014521088217,4.781367487699437,193.28383003280493,17.4268829284657,18.26273304743457,1058.6751461253893,574.6787656792675,36.1028201772307,29.956487332054053
9322,West,Bangalore,Residential,Monthly,ProviderA,5.605545965376722,12.787094363249963,2.992111476627228,109.95639438559145,11.029136206436304,16.304244859309595,1832.8049829192287,151.71711459707035,30.481062425539285,-30.24526246595922
2685,South,Bangalore,Commercial,Bi-Monthly,ProviderA,9.531382294633092,5.054198863438984,6.121936362594952,179.97673335166388,10.3648873485268,1.6640453801107125,1360.3049816120586,58.87597899547085,75.13724237872208,10.72472449727396
1769,SOUTH,Bangalore,Industrial,Monthly,ProviderC,8.456507864822488,11.36824585896909,5.246349728639224,75.17208384547325,13.649855212777746,8.961561743554489,1689.1336646881034,202.89662917984137,70.57766527990233,-31.09285551155304
7949,North,Chennai,Commercial,Monthly,ProviderB,8.022590234957079,11.603787631161271,4.817901358999346,97.63725614396921,43.22266225255828,1.1745437088143118,1325.5026999066954,343.7918789423236,56.919575689130916,45.054717552689596
3433,North,Bangalore,Commercial,Monthly,ProviderB,6.735712385355981,10.888185309861687,4.204818834014391,162.60977623833392,40.703284047357705,9.22945621441613,724.7811012479839,469.26468426592015,60.216748890670914,-10.503544785994478
6311,East,Delhi,Residential,Monthly,ProviderB,3.7360397294915373,14.157363558541975,4.82859141954439,161.0338897012819,9.731022551179748,26.478562407753003,342.6025820231321,121.77391380602094,57.3009108650364,32.42832142421702
6051,North,Delhi,Commercial,Bi-Monthly,ProviderC,7.473684597547433,14.436252003187972,7.728165687571007,50.62928189384085,46.10599085933899,29.247508967154356,997.5567742950415,106.55059808455586,31.43975005784886,-9.729659716341779
7420,West,Mumbai,Commercial,Monthly,ProviderC,7.093748130568177,5.172197160595259,6.543756783127872,125.19519878681555,46.104639742137564,17.238501932166603,946.8050626712884,538.6123948361267,59.55500823645367,-25.810335551946284
2184,North,Chennai,Industrial,Monthly,ProviderA,5.148946349439184,9.496434070019209,4.602646091061471,175.1152657934918,16.61759830552319,10.745938661073078,461.8103931155612,324.5817009024016,13.227553398841996,-4.08790560098079
5555,South,Chennai,Industrial,Bi-Monthly,ProviderC,6.858547584323686,5.033569941248577,2.874645141245626,128.34524299911038,42.9481919809038,24.380261309342373,740.9422718314169,530.8942604324243,10.530702115844203,-28.39720205457279
4385,North,Chennai,Industrial,Bi-Monthly,ProviderB,3.6055506326964926,5.875254283558212,3.187321748821743,111.05919512611027,17.13920188975611,17.565372151242286,1607.645591520559,192.4477297541544,40.707421569625645,12.829664364781657
7396,North,Bangalore,Industrial,Bi-Monthly,ProviderC,4.0167962210438475,13.129864640223255,7.017889837704932,179.654851397981,23.388077843197724,23.70520843323709,1208.1278176264634,382.1019179622851,64.07923467349657,40.74368215969132
9666,West,Chennai,Commercial,Bi-Monthly,ProviderB,7.07700929523115,13.013889074715507,3.661434642433597,97.50864082273644,42.30971362038388,27.549478849010224,605.2480511370616,105.00583864105221,71.30122363321725,12.98183912337391
3558,East,Mumbai,Commercial,Monthly,ProviderB,9.856997955295858,5.695935532471691,2.2030167554446205,106.75856133687536,12.664461741138012,17.35111355214099,1655.7342175350807,236.80801839880777,69.32605613147508,6.861734624664216
8849,West,Bangalore,Industrial,Monthly,ProviderB,3.88343955217735,11.323202043949378,3.156382707864612,191.7561085860924,25.585082850541777,25.553395531112702,537.7102317758277,568.0138308331613,44.565169290281034,39.40159427338695
3047,South,Bangalore,Industrial,Monthly,ProviderB,7.605945126422449,6.205268188859776,3.8949123103318364,90.21309530752472,33.09807954318892,15.38437910609238,1573.6711190336814,487.5875677451764,47.43024453716211,25.42722886937605
3747,North,Delhi,Industrial,Monthly,ProviderA,7.197412409985279,9.846805252654338,7.301883829839214,124.86354292290956,7.574617562932843,24.705744004114376,1540.564538982277,284.3027414270854,91.33503646136279,30.280401598206822
