household_id,region_name,city_name,meter_type,customer_category,grid_zone,voltage_reading,current_reading,active_power_kw,reactive_power_kvar,energy_usage_kwh,frequency_hz,load_factor,peak_demand_kw,offpeak_demand_kw,daily_consumption_kwh,timestamp
8270,North,Chennai,Smart,Commercial,ZoneA,221.6216291,10.93628144,1.747597198,2.382044201,31.03456469,50.30619197,0.378726961,9.008517439,1.679102499,19.76629498,30-08-2023 16:40
1860,North,Bangalore,Analog,Residential,ZoneA,216.5461071,12.10937406,2.577847524,0.339567904,2.356785658,50.34570151,0.79881611,13.84732141,1.114625769,13.2421796,04-12-2023 02:44
6390,North,Mumbai,Analog,Residential,ZoneB,234.5743347,15.64094241,7.54854721,0.322421654,29.43967974,50.66519661,0.772086438,1.842872802,3.654115192,59.67121641,16-10-2023 00:39
6191,South,Delhi,Smart,Commercial,ZoneB,217.2591228,12.99020706,0.950468458,4.175799135,17.64019492,50.46888094,0.899837017,13.05507326,4.75628673,74.32222441,09-08-2023 18:52
6734,East,Chennai,Smart,Commercial,ZoneB,,,,,,,,,,,28-08-2023 06:11
7265,East,Delhi,Analog,Commercial,ZoneC,238.2647592,13.05849325,1.841264098,2.012850195,35.46751089,50.1527432,0.411133464,4.571376502,5.74123689,27.53375447,14-02-2023 04:44
1466,North,Bangalore,Analog,Residential,ZoneC,249.626592,14.69372222,2.323537722,0.216872293,42.04531439,50.60877329,0.994003414,4.022129202,6.249218944,59.32390261,23-11-2023 22:20
5426,East,Mumbai,Analog,Residential,ZoneC,226.4997155,5.440244852,1.185456495,4.714004692,28.73933689,49.28564892,0.301169562,4.151352692,4.446019272,39.34874406,19-10-2023 18:00
6578,West,Delhi,Smart,Commercial,ZoneA,215.1410431,13.09529595,9.565156854,2.195314787,21.61238824,50.16714107,0.908407406,7.853308756,3.511013568,57.81147931,15-03-2023 06:58
9322,West,Delhi,Smart,Commercial,ZoneB,216.0288419,21.83030482,6.798570228,4.922414076,9.619980807,49.68358866,0.466684076,8.234884744,4.917597095,26.28000896,07-04-2023 03:35
2685,West,Delhi,Smart,Residential,ZoneC,214.4849085,12.35380479,9.543905876,0.68142449,35.96418802,50.84992436,0.69348847,8.608113676,4.991233455,76.15577234,11-12-2023 17:28
1769,West,Delhi,Analog,Residential,ZoneA,219.2344918,8.003672391,0.568903421,1.529138067,39.89101478,50.98710224,0.507926995,10.61815784,1.51920794,71.97399756,08-09-2023 18:17
